DATE,PPIACO
1/1/1978,69.9
1/1/1979,78.7
1/1/1980,89.8
1/1/1981,98
1/1/1982,100
1/1/1983,101.3
1/1/1984,103.7
1/1/1985,103.2
1/1/1986,100.2
1/1/1987,102.8
1/1/1988,106.9
1/1/1989,112.2
1/1/1990,116.3
1/1/1991,116.5
1/1/1992,117.2
1/1/1993,118.9
1/1/1994,120.5
1/1/1995,124.8
1/1/1996,127.7
1/1/1997,127.6
1/1/1998,124.4
1/1/1999,125.5
1/1/2000,132.7
1/1/2001,134.2
1/1/2002,131.1
1/1/2003,138.1
1/1/2004,146.7
1/1/2005,157.4
1/1/2006,164.8
1/1/2007,172.7
1/1/2008,189.6
1/1/2009,172.9
1/1/2010,184.7
1/1/2011,201.1
1/1/2012,202.2
1/1/2013,203.4
1/1/2014,205.3
