DATE,WILL5000IND
1/1/1978,1.46
1/1/1979,1.83
1/1/1980,2.16
1/1/1981,2.48
1/1/1982,2.41
1/1/1983,3.44
1/1/1984,3.49
1/1/1985,4.26
1/1/1986,5.55
1/1/1987,6.72
1/1/1988,6.46
1/1/1989,8.07
1/1/1990,8.37
1/1/1991,9.79
1/1/1992,11.28
1/1/1993,12.79
1/1/1994,13.41
1/1/1995,16.05
1/1/1996,20.18
1/1/1997,26.11
1/1/1998,32.17
1/1/1999,39.11
1/1/2000,43.59
1/1/2001,36.23
1/1/2002,31.22
1/1/2003,31.44
1/1/2004,38.03
1/1/2005,41.98
1/1/2006,46.93
1/1/2007,53.93
1/1/2008,45.44
1/1/2009,36.46
1/1/2010,45.32
1/1/2011,51.67
1/1/2012,57
1/1/2013,69.82
1/1/2014,83.54
